  ,SFHH003,SFHH003,SFHH003,SFHH003,SFHH004a,SFHH004a,SFHH004a,SFHH004a,SFHH004b,SFHH004b,SFHH004b,SFHH004b,Undetermined,Undetermined,Undetermined,Undetermined
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Trimmer,bbduk1,bbduk2,cutadapt1,cutadapt2,bbduk1,bbduk2,cutadapt1,cutadapt2,bbduk1,bbduk2,cutadapt1,cutadapt2,bbduk1,bbduk2,cutadapt1,cutadapt2
Raw Read Count,291798,291798,291798,291798,239036,239036,239036,239036,449598,449598,449598,449598,195013,195013,195013,195013
Raw Read Length,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
Trimmed Read Count,172984,185043,186946,186101,125878,134843,136137,135363,266074,284694,287793,286147,161376,183771,184317,184309
Trimmed Ave Read Length,52.3057,79.5413,88.6989,88.3564,54.7024,85.5535,95.4865,95.2548,50.0241,75.3314,84.0094,83.634,141.17,262.255,292.001,292.069
STAR Aligned to Transcriptome,13153,13140,13022,13151,6926,6619,6549,6604,13101,12645,12439,12555,2286,212,181,182
STAR Aligned to Transcriptome %,7.60,7.10,6.96,7.06,5.50,4.90,4.81,4.87,4.92,4.44,4.32,4.38,1.41,.11,.09,.09
STAR Aligned to Genome,51907,43429,42756,43132,36442,29222,28634,28891,84498,69058,68080,68685,14959,1210,843,842
STAR Aligned to Genome %,30.00,23.46,22.87,23.17,28.95,21.67,21.03,21.34,31.75,24.25,23.65,24.00,9.26,.65,.45,.45
STAR Unaligned,121077,141614,144190,142969,89436,105621,107503,106472,181576,215636,219713,217462,146417,182561,183474,183467
STAR Unaligned %,69.99,76.53,77.12,76.82,71.04,78.32,78.96,78.65,68.24,75.74,76.34,75.99,90.73,99.34,99.54,99.54
STAR Unmapped,121077,141614,144190,142969,89436,105621,107503,106472,181576,215636,219713,217462,146417,182561,183474,183467
STAR Unmapped %,69.99,76.53,77.12,76.82,71.04,78.32,78.96,78.65,68.24,75.74,76.34,75.99,90.73,99.34,99.54,99.54
Bowtie2 Aligned to hg38 (1),4016,4925,4837,4850,1371,1643,1576,1585,2354,2962,2811,2824,169,1019,834,858
Bowtie2 Aligned to hg38 (1) %,2.32,2.66,2.58,2.60,1.08,1.21,1.15,1.17,.88,1.04,.97,.98,.10,.55,.45,.46
STAR Aligned to mirna,9727,9636,9589,9648,6738,6956,6895,6960,14458,14623,14537,14664,2506,224,193,192
STAR Aligned to mirna %,5.62,5.20,5.12,5.18,5.35,5.15,5.06,5.14,5.43,5.13,5.05,5.12,1.55,.12,.10,.10
Bowtie Aligned to mirna,3753,3864,3853,3881,1815,1779,1781,1797,2953,2887,2864,2889,393,58,55,54
Bowtie Aligned to mirna %,2.16,2.08,2.06,2.08,1.44,1.31,1.30,1.32,1.10,1.01,.99,1.00,.24,.03,.02,.02
Bowtie2 Aligned to mirna,1766,1984,1994,2005,799,848,851,857,1130,1246,1247,1258,22,23,25,24
Bowtie2 Aligned to mirna %,1.02,1.07,1.06,1.07,.63,.62,.62,.63,.42,.43,.43,.43,.01,.01,.01,.01
Bowtie2 Aligned to phiX,29296,35227,35811,35803,24566,29346,29821,29816,40807,49200,50094,50084,148901,179392,180033,180034
Bowtie2 Aligned to phiX %,16.93,19.03,19.15,19.23,19.51,21.76,21.90,22.02,15.33,17.28,17.40,17.50,92.26,97.61,97.67,97.68
Bowtie2 Aligned to Salmonella,3218,4582,4664,4678,1170,1609,1642,1645,2694,3825,3891,3907,40,64,68,68
Bowtie2 Aligned to Salmonella %,1.86,2.47,2.49,2.51,.92,1.19,1.20,1.21,1.01,1.34,1.35,1.36,.02,.03,.03,.03
Bowtie2 Aligned to Burkholderia,89856,97553,98599,98776,68920,74437,75309,75419,154280,168028,169925,170158,1778,1899,1968,1971
Bowtie2 Aligned to Burkholderia %,51.94,52.71,52.74,53.07,54.75,55.20,55.31,55.71,57.98,59.02,59.04,59.46,1.10,1.03,1.06,1.06
STAR Gene Counts,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
RPH3A,333,342,342,351,2367,2367,2376,2394,7884,7857,7917,7971,54,54,45,54
ADGRG6,3200,3200,3260,3280,2010,1990,2040,2050,2850,2840,2880,2910,70,60,70,70
PLCE1,1914,1923,1941,1968,1583,1574,1610,1619,3443,3434,3479,3533,18,18,18,18
MAPT,1510,1490,1580,1570,1232,1232,1252,1252,1540,1540,1600,1600,10,10,10,10
RARS2,1080,1080,1080,1080,960,920,1000,1000,2120,2120,2120,2120,,,,
CCDC151,1820,1816,1824,1836,712,704,712,724,1236,1232,1224,1240,12,12,12,16
MIR486-2,1466,1464,1466,1478,604,604,610,612,1307,1305,1306,1316,24,24,22,22
MIR486-1,1466,1464,1466,1478,604,604,610,612,1307,1305,1306,1316,24,24,22,22
NOL4L,1875,1890,1890,1905,420,435,420,435,930,930,960,960,,,,
GOLGA2P10,588,582,588,600,756,756,762,762,1278,1260,1284,1296,,,,
PIGG,1116,1098,1128,1134,612,612,600,612,672,672,660,666,12,12,12,12
LOC100335030,577,577,572,577,481,476,480,481,1276,1270,1271,1282,11,10,11,10
MIRLET7BHG,898,892,892,898,484,484,486,488,644,640,644,648,10,10,12,10
VMP1,1100,1090,1100,1100,370,350,380,380,510,510,510,510,10,10,10,10
RNA45SN2,854,964,962,969,331,359,353,357,627,683,680,683,7,6,7,7
RNA45SN3,851,961,959,966,331,359,353,357,627,684,682,686,6,5,6,6
KIF18B,744,744,728,736,400,400,400,400,864,848,736,736,24,16,24,24
RNA45SN5,857,943,942,950,330,346,340,344,633,668,666,670,7,6,7,7
RNA45SN1,857,943,942,950,330,346,340,344,633,667,664,667,7,6,7,7
RNA45SN4,858,942,941,949,331,347,341,345,632,666,663,666,7,6,7,7
RWDD2A,875,868,882,882,259,259,266,266,672,672,679,679,21,21,21,21
TNS1,864,,,,648,27,27,27,1188,,,,4401,,,
GREM2,318,321,315,324,354,354,357,360,849,846,846,852,6,6,3,6
NOTCH2NLB,630,637,700,707,318,318,332,332,371,371,427,427,7,,14,14
HASPIN,596,592,599,604,276,274,273,278,416,415,411,416,5,5,5,6
RNA28SN2,547,641,635,640,192,219,214,217,413,456,451,453,4,4,4,4
RNA28SN3,543,637,631,636,192,219,214,217,413,457,453,456,3,3,3,3
RNY4,634,643,647,651,150,154,155,156,450,452,458,461,8,8,9,9
RNA28SN5,549,616,611,617,192,207,202,205,419,441,437,440,4,4,4,4
RNA28SN4,550,617,612,618,192,207,202,205,418,439,434,436,4,4,4,4
RNA28SN1,549,616,611,617,192,207,202,205,419,440,435,437,4,4,4,4
NACC2,370,366,336,338,256,256,240,240,422,416,372,372,8,8,10,10
KMT2D,429,429,429,429,297,275,286,297,286,286,286,286,,,,
EXOC7,782,782,799,799,68,68,68,68,102,102,102,102,,,,
CDC42BPA,420,21,,,378,,,,735,,21,,2142,,,
ABLIM2,815,204,204,204,145,51,51,51,705,,,,1269,,,
LOC727751,196,194,196,200,252,252,254,254,426,420,428,432,,,,
LOC101929479,196,194,196,200,252,252,254,254,426,420,428,432,,,,
PAIP1,389,389,387,393,172,172,172,172,236,234,240,240,6,6,6,6
RRBP1,330,327,333,336,195,195,198,198,240,240,243,243,6,3,6,6
BAZ2B,215,215,215,215,301,301,301,301,258,258,258,258,,,,
TUBGCP4,360,360,360,360,120,120,120,120,276,270,282,282,,,,
MIRLET7F2,249,247,248,250,197,195,198,199,206,205,206,208,7,7,7,7
MIRLET7A1,285,282,282,285,163,163,164,165,191,190,191,192,3,3,4,3
MIRLET7A3,284,281,281,284,162,162,163,164,191,190,191,192,3,3,4,3
MIRLET7A2,284,281,281,284,162,162,163,164,191,190,191,192,3,3,4,3
SLC19A1,476,442,476,476,51,51,51,51,86,86,103,103,,,17,17
MIRLET7F1,218,216,217,219,180,178,181,182,192,191,191,193,7,7,7,7
RNA18SN4,252,266,271,272,120,121,119,120,183,193,194,195,3,2,3,3
RNA18SN3,252,266,271,272,120,121,119,120,183,193,194,195,3,2,3,3
STAR miRNA Counts,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
hsa-mir-944-hairpin,248,246,228,230,1603,1601,1567,1580,4713,4679,4704,4741,36,34,35,35
hsa-mir-1260a-hairpin,209,207,208,209,1560,1557,1554,1567,4659,4624,4696,4732,34,32,33,33
hsa-mir-4538-hairpin,201,199,203,204,1559,1556,1553,1566,4655,4619,4693,4729,34,32,33,33
hsa-mir-4538-mature,200,198,202,203,1551,1548,1546,1559,4638,4603,4675,4711,34,32,33,33
hsa-mir-486-2-hairpin,1497,1495,1503,1515,624,624,648,650,1346,1344,1366,1376,24,24,24,24
hsa-mir-486-1-hairpin,1497,1495,1503,1515,624,624,648,650,1346,1344,1366,1376,24,24,24,24
hsa-mir-3168-hairpin,1009,1005,1016,1020,371,366,370,374,620,616,619,622,12,11,11,11
hsa-mir-3168-mature,1006,1002,1013,1017,369,364,368,372,617,613,616,619,11,11,11,11
hsa-mir-486-5p-mature,748,747,751,757,312,312,324,325,673,672,683,688,12,12,12,12
hsa-mir-484-hairpin,323,320,325,324,270,269,271,272,1011,1003,1008,1015,8,7,8,8
hsa-mir-4283-2-hairpin,309,306,310,309,265,264,266,267,1022,1014,1019,1026,8,7,8,8
hsa-mir-4283-1-hairpin,309,306,310,309,265,264,266,267,1022,1014,1019,1026,8,7,8,8
hsa-mir-216b-hairpin,569,564,571,574,243,241,242,246,385,382,384,385,6,6,6,6
hsa-mir-552-hairpin,4,426,429,430,1,413,415,418,4,654,671,677,,9,9,9
hsa-mir-8052-hairpin,432,430,435,438,204,202,202,206,286,285,286,287,3,3,3,3
hsa-mir-8052-mature,432,430,435,438,204,202,202,206,283,282,283,284,3,3,3,3
hsa-mir-486-3p-mature,278,278,280,283,132,132,141,141,256,254,266,267,7,7,7,7
hsa-mir-4723-hairpin,183,184,187,189,204,201,202,206,283,284,283,287,3,3,3,3
hsa-let-7f-2-hairpin,251,249,250,252,200,198,201,202,212,211,212,214,7,7,7,7
hsa-let-7f-1-hairpin,252,250,251,253,200,198,201,202,210,209,210,212,7,7,7,7
hsa-let-7f-5p-mature,250,248,250,252,199,197,200,201,208,207,208,210,7,7,7,7
hsa-let-7a-1-hairpin,286,283,286,289,164,163,166,167,198,196,207,208,4,4,5,4
hsa-let-7a-3-hairpin,286,283,287,290,164,163,166,167,197,195,206,207,4,4,5,4
hsa-let-7a-2-hairpin,287,284,288,291,164,163,166,167,196,194,205,206,4,4,5,4
hsa-let-7a-5p-mature,285,282,285,288,164,163,166,167,196,194,205,206,4,4,5,4
hsa-mir-892b-hairpin,33,33,34,34,139,137,140,140,408,409,412,418,3,3,3,3
hsa-mir-509-3-hairpin,27,27,28,28,136,134,136,136,410,411,415,421,3,3,3,3
hsa-mir-509-2-hairpin,27,27,28,28,136,134,136,136,410,411,415,421,3,3,3,3
hsa-mir-509-1-hairpin,27,27,28,28,136,134,136,136,410,411,415,421,3,3,3,3
hsa-mir-7843-hairpin,4,52,53,53,,237,236,238,2,383,386,395,,6,6,6
hsa-mir-6084-hairpin,132,133,130,130,101,99,103,103,240,244,241,242,2,1,1,1
hsa-mir-4257-hairpin,5,44,47,47,1,209,210,211,16,351,356,362,1,5,5,5
hsa-mir-26a-2-hairpin,267,266,267,268,83,82,82,83,72,70,73,73,6,5,5,5
hsa-mir-26a-1-hairpin,264,263,264,265,83,82,84,85,73,71,73,73,6,5,5,5
hsa-mir-26a-5p-mature,264,263,264,265,81,80,80,81,72,70,72,72,6,5,5,5
hsa-mir-542-hairpin,101,102,104,105,136,135,136,138,175,175,175,180,1,1,1,1
hsa-mir-6787-hairpin,26,26,29,29,82,83,84,85,293,291,293,294,4,4,4,4
hsa-mir-6787-5p-mature,18,18,20,20,81,82,83,84,288,286,288,289,4,4,4,4
hsa-let-7b-hairpin,169,169,170,170,80,80,80,80,136,135,136,137,2,2,2,2
hsa-let-7b-5p-mature,166,166,166,166,80,80,80,80,131,130,131,132,2,2,2,2
hsa-mir-6880-hairpin,144,144,145,146,75,75,76,76,140,140,141,142,4,4,3,3
hsa-mir-6880-5p-mature,144,144,145,146,73,73,74,74,138,138,139,140,3,3,3,3
hsa-mir-10398-hairpin,141,141,142,143,74,74,74,74,134,135,137,138,4,4,4,4
hsa-mir-4291-hairpin,139,139,138,140,73,73,73,73,128,128,129,130,3,3,3,3
hsa-mir-7150-hairpin,146,142,151,150,60,62,60,61,118,115,116,117,6,6,6,6
hsa-mir-7150-mature,123,123,125,126,48,48,47,48,96,97,96,97,4,4,4,4
hsa-mir-4651-hairpin,102,102,118,119,38,38,40,41,73,74,103,104,,,,
hsa-mir-505-hairpin,74,74,77,78,53,51,54,56,92,92,94,94,2,2,2,2
hsa-mir-4326-hairpin,70,70,74,75,56,54,56,58,92,92,94,94,3,3,2,2
hsa-mir-21-hairpin,114,113,115,115,41,39,42,42,54,54,54,54,2,2,1,1
blastn Family Counts,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
198431 uncultured prokaryote,53009,80297,73108,71627,33350,43144,57334,57248,116667,149639,144807,144605,143449,180727,181677,181679
119060 Burkholderiaceae,77904,87604,88427,88492,69057,79589,81084,81052,134590,151007,153778,153697,1495,2285,2068,2069
543 Enterobacteriaceae,30414,37896,38725,38724,23833,30114,30752,30737,39462,50036,51366,51275,142167,179243,180108,180107
10841 Microviridae,34319,35021,35820,35813,24093,30117,30288,30286,43171,48886,50136,50128,142291,179309,180188,180189
6246 Strongyloididae,28827,36102,36545,36530,23571,29875,30501,30490,40321,50638,50820,50791,142163,179198,180067,180067
41297 Sphingomonadaceae,28837,36219,36972,37016,23547,29428,30076,30089,39052,49389,50674,50667,142119,179161,180035,180039
335929 Erythrobacteraceae,28058,35346,36144,36164,23443,29294,29971,29974,39072,49595,50905,50895,142058,179103,180046,180047
119043 Rhodobiaceae,28146,35406,36205,36205,23351,29225,29877,29875,38728,48967,50220,50217,142116,179144,180022,180023
90964 Staphylococcaceae,28209,35284,36087,36069,23379,29272,29877,29867,38742,49014,50272,50247,142127,179161,180036,180034
186807 Peptococcaceae,27883,35108,35910,35909,23323,29194,29849,29846,38697,48911,50173,50165,142116,179144,180021,180022
4671 Dioscoreaceae,27788,35012,35812,35805,23297,29165,29818,29815,38612,48832,50090,50082,142118,179147,180024,180025
32630 synthetic construct,27737,35070,35906,35899,23199,29162,29834,29831,38474,48850,50142,50134,141565,179201,180102,180103
41819 Ceratopogonidae,27685,35001,35815,35808,23213,29161,29816,29813,38495,48807,50090,50082,141613,179124,180015,180016
2026680 Synthetic Enterobacteria phage CryptX174,27450,34950,35805,35800,23004,29109,29815,29812,38102,48729,50082,50075,140433,179058,180011,180012
4777 Peronosporaceae,26468,34513,35622,35616,22182,28722,29644,29641,36720,47995,49805,49799,135804,177234,179045,179046
2026679 Synthetic Enterobacteria phage KleenX174,25639,34739,35788,35782,21551,28957,29792,29791,35685,48394,50041,50039,131972,178790,179911,179920
CP052132.1,64417,74559,75610,75628,49386,59303,60158,60138,109697,132150,134036,134007,,,,
147368 Pooideae,24638,31079,32218,32213,20572,25791,26673,26671,34160,43271,44929,44924,124951,158607,160990,160993
1246486 synthetic Enterobacteria phage phiX174.1f,27786,35010,35810,35803,19285,24907,25730,25728,31861,41687,43236,43229,118024,154001,155854,155855
468 Moraxellaceae,8021,8985,9473,9468,24255,30318,30453,30448,15001,12310,13067,13065,142123,179150,180027,180028
CP052867.1,54529,65063,65820,65826,39566,49641,50221,50201,85754,108558,109748,109722,,,,
135621 Pseudomonadaceae,62121,44035,44821,44808,40434,27459,27762,27749,82857,56270,57371,57337,45509,77645,78986,78990
110618 Nectriaceae,20004,26366,27433,27430,16763,21909,22770,22766,27866,36706,38288,38281,102434,135214,137484,137485
75787 Rhodocyclaceae,43697,31743,31883,31904,35421,28581,28645,28561,81776,112504,114198,114147,841,693,704,704
90627 Gallionellaceae,41826,48190,48865,48859,35213,42582,43217,43187,69720,84313,85473,85374,825,971,1007,1007
CP052128.1,42954,49079,49704,49670,33690,40295,40852,40804,67678,80715,81852,81671,,,,
CP052126.1,42954,49079,49704,49670,33690,40294,40852,40804,67678,80712,81849,81668,,,,
CP052130.1,42953,49078,49703,49669,33689,40293,40851,40803,67677,80711,81848,81667,,,,
CP052124.1,42944,49069,49694,49660,33687,40291,40849,40801,67676,80709,81846,81666,,,,
CP052122.1,42944,49069,49694,49660,33687,40290,40849,40801,67676,80709,81845,81666,,,,
CP052120.1,42944,49067,49694,49660,33685,40287,40846,40798,67676,80702,81842,81666,,,,
CP052118.1,42942,49065,49692,49658,33685,40287,40846,40798,67672,80698,81836,81661,,,,
CP052116.1,42938,49061,49688,49654,33685,40287,40846,40798,67669,80695,81835,81660,,,,
CP052114.1,42938,49061,49688,49654,33685,40287,40846,40798,67669,80695,81835,81660,,,,
CP052112.1,42941,49064,49691,49657,33683,40284,40844,40795,67668,80693,81832,81658,,,,
CP052110.1,42941,49064,49691,49657,33683,40284,40844,40795,67668,80693,81832,81658,,,,
CP052108.1,42934,49056,49682,49649,33685,40286,40844,40797,67668,80692,81827,81656,,,,
CP052106.1,42934,49056,49682,49649,33685,40285,40843,40796,67668,80692,81827,81656,,,,
CP052104.1,42932,49054,49680,49647,33685,40285,40843,40796,67666,80690,81825,81654,,,,
CP052102.1,42929,49051,49677,49644,33685,40285,40843,40796,67663,80687,81822,81651,,,,
CP052098.1,42928,49050,49676,49643,33685,40285,40843,40796,67663,80687,81817,81651,,,,
CP052100.1,42923,49044,49670,49637,33684,40284,40842,40795,67659,80683,81813,81647,,,,
CP052096.1,42922,49043,49668,49635,33680,40280,40838,40791,67658,80682,81812,81646,,,,
CP052090.1,42917,49038,49663,49630,33680,40279,40837,40790,67658,80682,81812,81646,,,,
CP052094.1,42915,49036,49661,49628,33679,40278,40836,40789,67658,80682,81812,81646,,,,
CP052092.1,42883,49033,49658,49625,33662,40277,40835,40788,67606,80673,81803,81637,,,,
CP052086.1,42870,49020,49646,49612,33660,40275,40833,40786,67602,80670,81798,81632,,,,
CP052088.1,42852,49002,49627,49593,33654,40269,40827,40780,67598,80666,81793,81627,,,,
CP052082.1,42847,48998,49623,49589,33654,40268,40826,40779,67598,80666,81793,81627,,,,
CP052084.1,42837,48990,49615,49581,33648,40262,40821,40774,67591,80653,81780,81620,,,,
