  ,SFHH011AA,SFHH011AB,SFHH011AC,SFHH011AD,SFHH011AE,SFHH011AF,SFHH011AG,SFHH011AH,SFHH011AI,SFHH011AJ,SFHH011AK,SFHH011AL,SFHH011AM,SFHH011AN,SFHH011AO,SFHH011AP,SFHH011AQ,SFHH011A,SFHH011AR,SFHH011AS,SFHH011AT,SFHH011AU,SFHH011AV,SFHH011AW,SFHH011AX,SFHH011AY,SFHH011AZ,SFHH011BA,SFHH011BB,SFHH011BC,SFHH011BD,SFHH011BE,SFHH011BF,SFHH011BG,SFHH011BH,SFHH011BI,SFHH011BJ,SFHH011BK,SFHH011BL,SFHH011BM,SFHH011BN,SFHH011BO,SFHH011BP,SFHH011BQ,SFHH011B,SFHH011BR,SFHH011BS,SFHH011BT,SFHH011BU,SFHH011BV,SFHH011BW,SFHH011BX,SFHH011BY,SFHH011BZ,SFHH011CA,SFHH011CB,SFHH011CC,SFHH011CD,SFHH011CE,SFHH011CF,SFHH011CG,SFHH011CH,SFHH011C,SFHH011D,SFHH011E,SFHH011F,SFHH011G,SFHH011H,SFHH011I,SFHH011J,SFHH011K,SFHH011L,SFHH011M,SFHH011N,SFHH011O,SFHH011P,SFHH011Q,SFHH011R,SFHH011S,SFHH011T,SFHH011U,SFHH011V,SFHH011W,SFHH011X,SFHH011Y,SFHH011Z
Paired Raw R1 Read Count,11511397,8142210,8180462,10296694,9285744,10078326,11635433,8846214,10630989,8434680,6764653,5826567,6660922,11148087,9279562,10634029,12037577,10193695,10977350,10305586,3584992,8443045,11611860,2853190,6401309,6452799,9006359,6242041,6430568,10490337,12690964,9128559,7559105,3146044,7063949,11212375,11034649,7675429,3992633,8703156,8133210,4285145,3996213,11761538,7536,10013144,9442823,9158809,11836641,11010127,10881452,8998492,8077809,6448144,12757684,11643282,12189073,11139889,10066191,11892853,11362719,11225832,7813336,11133909,9775006,11998553,7422754,8175180,8180839,10291039,7042762,8767420,7118568,6742820,10141183,10877259,6263754,8014479,3510553,6952847,11962381,6025225,10113465,12445268,9772474,7862151
Format R1 Read Count,8008954,5660337,4281184,4463569,4193696,5430760,8320799,6747213,7680328,6308665,4894019,3696760,4370090,7992249,5612086,7202970,7914454,6496732,7904285,5453468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Format % Read Count,69.57,69.51,52.33,43.34,45.16,53.88,71.51,76.27,72.24,74.79,72.34,63.44,65.60,71.69,60.47,67.73,65.74,63.73,72.00,52.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimmed R1 Read Count,5698512,4253430,2667065,3326125,3036085,3796281,6357197,5009225,5701892,4635674,3551388,2389484,2843040,6062168,3625177,5146980,5728515,4814985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimmed % R1 Read Count,71.15,75.14,62.29,74.51,72.39,69.90,76.40,74.24,74.24,73.48,72.56,64.63,65.05,75.85,64.59,71.45,72.38,74.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimmed Ave R1 Read Length,103.85,106.034,92.3266,101.073,99.2582,99.6345,103.165,111.34,107.582,112.948,101.146,73.6928,74.9047,107.234,91.9775,102.208,91.9912,95.9813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimmed Ave R2 Read Length,83.8717,82.188,81.6597,83.2989,81.6711,80.8526,82.9593,81.159,83.6435,80.4084,85.5115,84.3728,83.2866,81.6046,81.3357,80.8039,80.5153,82.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hg38 aligned Count,1323324,957010,621855,762081,686293,860441,1375594,1156506,1347331,1106111,862883,443717,514225,1355610,822575,1149570,1167737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hg38 aligned %,11.61,11.24,11.65,11.45,11.30,11.33,10.81,11.54,11.81,11.93,12.14,9.28,9.04,11.18,11.34,11.16,10.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hg38 unaligned Count,10073700,7549850,4712275,5890169,5385877,6732121,11338800,8861944,10056453,8165237,6239893,4335251,5171855,10768726,6427779,9144390,10289293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hg38 unaligned %,88.38,88.75,88.34,88.54,88.69,88.66,89.18,88.45,88.18,88.06,87.85,90.71,90.95,88.81,88.65,88.83,89.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hg38 dup Count,76885,61423,155229,41895,46985,108758,99354,96772,151276,198038,307628,38886,66343,384736,219152,226785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hg38 dup %,5.80,6.41,24.96,5.49,6.84,12.63,7.22,8.36,11.22,17.90,35.65,8.76,12.90,28.38,26.64,19.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
hg38 deduped Count,11320139,8445437,5178901,6610355,6025185,7483804,12615040,9921678,11252508,9073310,6795148,4740082,5619737,11739600,7031202,10067175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hg38 aligned deduped Count,1865155,1423161,748261,1062819,967725,1198166,1988302,1745812,1858860,1582082,885350,552708,650683,1702224,981250,1529573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
